alue,elakelaisten_osuus
Siikainen,41.9
Siikajoki,27.7
Siikalatva,36.5
Siilinjärvi,24.4
Simo,39.2
Sipoo,19.8
Siuntio,21.6
Sodankylä,32.5
Soini,35.2
Somero,36.6
Sonkajärvi,39.5
Sotkamo,31.3
Sottunga,39.6
Sulkava,45.4
Sund,25.4
Suomussalmi,43.2
Suonenjoki,38
Sysmä,46.6
Säkylä,35.2
Taipalsaari,28.5
Taivalkoski,36.1
Taivassalo,37.5
Tammela,30.4
Tampere,22.4
Tervo,43.9
Tervola,34.4
Teuva,38
Tohmajärvi,37.9
Toholampi,30.7
Toivakka,31
Tornio,27.4
Turku,24.2
Tuusniemi,44.8
Tuusula,20.8
Tyrnävä,16.2
Ulvila,29.6
Urjala,36.9
Utajärvi,37.4
Utsjoki,33.8
Uurainen,22.6
Uusikaarlepyy,27.5
Uusikaupunki,32.7
Vaala,43.8
Vaasa,22.9
Valkeakoski,30.7
Vantaa,18.1
Varkaus,36.6
Vehmaa,32.6
Vesanto,46.5
Vesilahti,21.9
Veteli,33.8
Vieremä,31.6
Vihti,21.9
Viitasaari,40.9
Vimpeli,34.7
Virolahti,37.4
Virrat,40.9
Vårdö,29.9
Vöyri,28.4
Ylitornio,43.1
Ylivieska,23.9
Ylöjärvi,21.1
Ypäjä,32.6
Ähtäri,37
Äänekoski,32.2
