"Kuntien avainluvut"

"Alue 2020";"Eläkeläisten osuus väestöstä, %, 2018"
"Toivakka";31.0
"Tornio";27.4
"Turku";24.2
"Tuusniemi";44.8
"Tuusula";20.8
"Tyrnävä";16.2
"Ulvila";29.6
"Urjala";36.9
"Utajärvi";37.4
"Utsjoki";33.8
"Uurainen";22.6
"Uusikaarlepyy";27.5
"Uusikaupunki";32.7
"Vaala";43.8
"Vaasa";22.9
"Valkeakoski";30.7
"Vantaa";18.1
"Varkaus";36.6
"Vehmaa";32.6
"Vesanto";46.5
"Vesilahti";21.9
"Veteli";33.8
"Vieremä";31.6
"Vihti";21.9
"Viitasaari";40.9
"Vimpeli";34.7
"Virolahti";37.4
"Virrat";40.9
"Vårdö";29.9
"Vöyri";28.4
"Ylitornio";43.1
"Ylivieska";23.9
"Ylöjärvi";21.1
"Ypäjä";32.6
"Ähtäri";37.0
"Äänekoski";32.2
"Uudenmaan maakunta";20.2
"Varsinais-Suomen maakunta";26.9
"Satakunnan maakunta";31.2
"Kanta-Hämeen maakunta";29.0
"Pirkanmaan maakunta";25.3
"Päijät-Hämeen maakunta";30.4
"Kymenlaakson maakunta";32.9
"Etelä-Karjalan maakunta";31.8
"Etelä-Savon maakunta";35.6
"Pohjois-Savon maakunta";30.2
"Pohjois-Karjalan maakunta";31.1
"Keski-Suomen maakunta";27.3
"Etelä-Pohjanmaan maakunta";29.5
"Pohjanmaan maakunta";25.8
"Keski-Pohjanmaan maakunta";26.7
"Pohjois-Pohjanmaan maakunta";23.9
"Kainuun maakunta";34.0
"Lapin maakunta";30.2
"Ahvenanmaa";23.3
"Helsingin seutukunta";19.6
"Raaseporin seutukunta";31.3
"Porvoon seutukunta";24.4
"Loviisan seutukunta";33.1
"Åboland-Turunmaan seutukunta";33.3
"Salon seutukunta";31.9
"Turun seutukunta";24.6
"Vakka-Suomen seutukunta";32.0
"Loimaan seutukunta";31.6
"Rauman seutukunta";30.2
"Porin seutukunta";31.4
"Pohjois-Satakunnan seutukunta";34.2
"Hämeenlinnan seutukunta";28.9
"Riihimäen seutukunta";26.2
"Forssan seutukunta";33.1
"Luoteis-Pirkanmaan seutukunta";36.8
"Etelä-Pirkanmaan seutukunta";30.0
"Tampereen seutukunta";22.9
"Lounais-Pirkanmaan seutukunta";34.4
"Ylä-Pirkanmaan seutukunta";40.2
"Lahden seutukunta";30.4
"Kouvolan seutukunta";33.1
"Kotka-Haminan seutukunta";32.7
"Lappeenrannan seutukunta";29.0
"Imatran seutukunta";38.0
"Mikkelin seutukunta";33.3
"Savonlinnan seutukunta";37.9
"Pieksämäen seutukunta";38.1
"Ylä-Savon seutukunta";34.4
"Kuopion seutukunta";25.5
"Koillis-Savon seutukunta";45.2
"Varkauden seutukunta";36.4
"Sisä-Savon seutukunta";40.4
"Joensuun seutukunta";27.8
"Keski-Karjalan seutukunta";40.7
"Pielisen Karjalan seutukunta";42.6
"Jyväskylän seutukunta";22.5
"Joutsan seutukunta";43.6
"Keuruun seutukunta";38.6
"Jämsän seutukunta";37.0
"Äänekosken seutukunta";32.9
"Saarijärvi-Viitasaaren seutukunta";38.7
"Suupohjan seutukunta";34.5
"Seinäjoen seutukunta";27.1
"Kuusiokuntien seutukunta";34.4
"Järviseudun seutukunta";34.3
"Kyrönmaan seutukunta";28.4
"Vaasan seutukunta";24.0
"Sydösterbotten";35.5
"Jakobstadsregionen";25.4
"Kaustisen seutukunta";30.1
"Kokkolan seutukunta";25.8
"Oulun seutukunta";19.6
"Oulunkaaren seutukunta";33.5
"Raahen seutukunta";29.8
"Haapavesi-Siikalatvan seutukunta";31.6
"Nivala-Haapajärven seutukunta";31.1
"Ylivieskan seutukunta";26.9
"Koillismaan seutukunta";33.9
"Kehys-Kainuun seutukunta";44.0
"Kajaanin seutukunta";29.9
"Rovaniemen seutukunta";24.2
"Kemi-Tornion seutukunta";31.1
"Torniolaakson seutukunta";44.4
"Itä-Lapin seutukunta";44.9
"Tunturi-Lapin seutukunta";28.8
"Pohjois-Lapin seutukunta";32.0
"Mariehamns stad";24.5
"Ålands landsbygd";21.1
"Ålands skärgård";33.3
